app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,price_original,discount,steam_deck
1005300,The Jackbox Party Pack 6,2019-10-16,TRUE,TRUE,TRUE,Overwhelmingly Positive,95,1917,29.99,29.99,0,TRUE
1076880,Air Marty,2019-11-17,TRUE,TRUE,TRUE,Very Positive,96,274,2.99,2.99,0,TRUE
1079460,Descenders Soundtrack,2019-05-07,TRUE,TRUE,TRUE,Positive,88,27,9.99,9.99,0,TRUE
1094390,Waltz of the Wizard: Natural Magic,2019-07-10,TRUE,FALSE,FALSE,Very Positive,89,212,19.99,19.99,0,TRUE
1101670,ARISEN - Chronicles of Var'Nagal,2021-09-21,TRUE,FALSE,FALSE,Positive,95,44,15.99,15.99,0,TRUE
1113030,Stellar Warfare,2021-08-04,TRUE,FALSE,FALSE,Very Positive,85,149,19.99,19.99,0,TRUE
1132070,5,2019-08-17,TRUE,FALSE,FALSE,Very Positive,86,114,0.99,0.99,0,TRUE
1141320,Idle Campaign,2022-08-17,TRUE,FALSE,FALSE,Mixed,58,96,0,0,0,TRUE
1162990,ZOR: Pilgrimage of the Slorfs,2022-08-30,TRUE,FALSE,FALSE,Positive,92,28,15.99,15.99,0,TRUE
1174640,Arcadia Fallen,2021-11-17,TRUE,TRUE,TRUE,Very Positive,98,155,16.74,24.99,33,TRUE
1218210,Coromon,2022-03-31,TRUE,TRUE,FALSE,Very Positive,87,3120,19.99,19.99,0,TRUE
1242778,Monster Hunter World: Iceborne - Hairstyle: Fluffy Mop,2020-04-22,TRUE,FALSE,FALSE,Positive,83,24,1.49,1.49,0,TRUE
1276750,Negative Nancy,2021-10-13,TRUE,TRUE,FALSE,Very Positive,94,74,4.49,14.99,70,TRUE
1287082,Monster Hunter World: Iceborne - MHW:I Music Player: Additional BGM Set Vol. 7,2020-07-08,TRUE,FALSE,FALSE,Positive,92,13,4.99,4.99,0,TRUE
1307580,TOEM,2021-09-17,TRUE,TRUE,FALSE,Overwhelmingly Positive,99,2321,19.99,19.99,0,TRUE
1315200,Kingdom Under Fire: Heroes,2020-06-24,TRUE,FALSE,FALSE,Mostly Positive,78,334,19.99,19.99,0,TRUE
1332420,Wingspan Soundtrack,2020-07-24,FALSE,FALSE,FALSE,Positive,100,16,9.99,9.99,0,TRUE
1341220,BlackJack Math,2020-08-20,TRUE,TRUE,FALSE,Very Positive,88,60,0.99,0.99,0,TRUE
1345370,Promesa,2020-10-15,TRUE,TRUE,FALSE,Very Positive,84,124,5.99,5.99,0,TRUE
1351390,Not For Broadcast Original Soundtrack,2020-06-25,FALSE,FALSE,FALSE,Very Positive,87,54,7.99,7.99,0,TRUE
1544405,GGST Additional Character 5 - Testament,2022-03-28,TRUE,FALSE,FALSE,Very Positive,92,143,6.99,6.99,0,TRUE
1563180,Internet Cafe Simulator 2,2022-01-07,TRUE,FALSE,FALSE,Mostly Positive,73,7539,19.99,19.99,0,TRUE
298860,Postal 2 Editor,2014-05-02,TRUE,FALSE,FALSE,Positive,81,27,0,0,0,TRUE
1597480,Zombie Gunship Survival,2021-09-22,TRUE,FALSE,FALSE,Mixed,45,830,0,0,0,TRUE
1598370,Vojo,2021-04-23,TRUE,FALSE,FALSE,Very Positive,91,103,0.99,0.99,0,TRUE
1619350,DeepStates [VR],2021-06-18,TRUE,FALSE,FALSE,Very Positive,89,69,11.99,11.99,0,TRUE
1641660,RPGolf Legends,2022-01-19,TRUE,FALSE,FALSE,Mixed,61,13,29.99,29.99,0,TRUE
1806000,How To Bathe Your Cat: Drawing,2021-11-17,TRUE,FALSE,FALSE,Positive,81,37,0.99,0.99,0,TRUE
1843010,DJMAX RESPECT V - V EXTENSION II Original Soundtrack,2022-01-24,FALSE,FALSE,FALSE,Positive,100,16,9.99,9.99,0,TRUE
1846791,Forza Horizon 5 1992 Mazda 323 GT-R,2022-02-10,TRUE,FALSE,FALSE,Positive,81,11,2.99,2.99,0,TRUE
1906240,PAYDAY 2: Mountain Master Heist,2022-03-09,TRUE,FALSE,TRUE,Mostly Positive,70,180,6.99,6.99,0,TRUE
1925970,SIMULACRA 3,2022-10-25,TRUE,FALSE,FALSE,Mixed,57,159,9.99,9.99,0,TRUE
1969530,Paranormal Preparatory School,2022-08-11,TRUE,TRUE,TRUE,Mostly Positive,71,14,6.99,6.99,0,TRUE
2020510,風色幻想4:聖戰的終焉,2022-08-08,TRUE,FALSE,FALSE,Positive,82,46,3.99,3.99,0,TRUE
2094810,Crypt of the NecroDancer: SYNCHRONY,2022-08-04,TRUE,TRUE,TRUE,Very Positive,95,170,6.99,6.99,0,TRUE
2123100,Kitty May Cry,2022-11-13,TRUE,FALSE,FALSE,Positive,91,46,8.99,8.99,0,TRUE
2171310,Lost Cartridge - Cold Read,2023-01-16,TRUE,FALSE,FALSE,Positive,95,23,6.99,6.99,0,TRUE
